timestamp,bid,ask,mid,volume
2023-01-01 00:00:00.285000+00:00,100.0047,100.0455,100.0251,96
2023-01-01 00:00:00.307000+00:00,99.915,99.9639,99.9395,79
2023-01-01 00:00:00.398000+00:00,99.9758,100.0267,100.0013,101
2023-01-01 00:00:01.191000+00:00,100.0573,100.1002,100.0787,0
2023-01-01 00:00:01.314000+00:00,99.8947,99.9414,99.9181,62
2023-01-01 00:00:01.751000+00:00,99.7811,99.8408,99.811,149
2023-01-01 00:00:01.931000+00:00,99.8013,99.8416,99.8215,68
2023-01-01 00:00:02.286000+00:00,99.771,99.8199,99.7955,58
2023-01-01 00:00:03.100000+00:00,99.7657,99.8225,99.7941,165
2023-01-01 00:00:03.390000+00:00,99.7008,99.7472,99.724,167
2023-01-01 00:00:05.833000+00:00,99.7715,99.821,99.7963,125
2023-01-01 00:00:06.063000+00:00,99.8305,99.8899,99.8602,77
2023-01-01 00:00:06.285000+00:00,99.8409,99.8904,99.8656,88
2023-01-01 00:00:06.618000+00:00,99.9371,99.9797,99.9584,59
2023-01-01 00:00:06.647000+00:00,99.9764,100.0174,99.9969,50
2023-01-01 00:00:07.463000+00:00,99.8967,99.9556,99.9261,47
2023-01-01 00:00:07.701000+00:00,99.9339,99.9791,99.9565,69
2023-01-01 00:00:08.296000+00:00,99.8526,99.9026,99.8776,48
2023-01-01 00:00:08.680000+00:00,99.929,99.9708,99.9499,21
2023-01-01 00:00:09.119000+00:00,99.9215,99.97,99.9458,110
2023-01-01 00:00:09.611000+00:00,99.9013,99.9598,99.9306,111
2023-01-01 00:00:09.755000+00:00,99.8495,99.8995,99.8745,185
2023-01-01 00:00:10.554000+00:00,99.9454,100.0048,99.9751,66
2023-01-01 00:00:10.554000+00:00,99.9398,99.985,99.9624,114
2023-01-01 00:00:10.591000+00:00,99.9021,99.9522,99.9272,115
2023-01-01 00:00:11.255000+00:00,99.8696,99.9267,99.8982,87
2023-01-01 00:00:12.620000+00:00,99.9175,99.9665,99.942,137
2023-01-01 00:00:12.763000+00:00,99.9493,99.9949,99.9721,138
2023-01-01 00:00:12.840000+00:00,99.9775,100.0346,100.0061,116
2023-01-01 00:00:13.170000+00:00,100.0176,100.0655,100.0416,87
2023-01-01 00:00:13.242000+00:00,100.1928,100.2435,100.2182,82
2023-01-01 00:00:13.254000+00:00,100.1548,100.2145,100.1846,31
2023-01-01 00:00:13.591000+00:00,100.1205,100.1643,100.1424,59
2023-01-01 00:00:13.644000+00:00,100.0522,100.0983,100.0753,68
2023-01-01 00:00:14.111000+00:00,100.1057,100.1464,100.1261,43
2023-01-01 00:00:14.338000+00:00,100.1952,100.2432,100.2192,121
2023-01-01 00:00:15.661000+00:00,100.1878,100.2318,100.2098,159
2023-01-01 00:00:16.073000+00:00,100.1136,100.1673,100.1405,54
2023-01-01 00:00:16.687000+00:00,100.0507,100.0943,100.0725,114
2023-01-01 00:00:17.001000+00:00,100.0994,100.1529,100.1261,48
2023-01-01 00:00:17.521000+00:00,100.1648,100.2101,100.1875,84
2023-01-01 00:00:18.349000+00:00,100.2087,100.2559,100.2323,65
2023-01-01 00:00:18.687000+00:00,100.1538,100.2009,100.1774,130
2023-01-01 00:00:19.023000+00:00,100.1693,100.2237,100.1965,66
2023-01-01 00:00:19.110000+00:00,100.1814,100.2309,100.2061,150
2023-01-01 00:00:19.122000+00:00,100.2005,100.2479,100.2242,87
2023-01-01 00:00:19.282000+00:00,100.2675,100.3248,100.2962,67
2023-01-01 00:00:19.647000+00:00,100.2888,100.3404,100.3146,37
2023-01-01 00:00:20.374000+00:00,100.3485,100.393,100.3707,112
2023-01-01 00:00:20.710000+00:00,100.3472,100.4054,100.3763,144
2023-01-01 00:00:22.105000+00:00,100.3767,100.4237,100.4002,113
2023-01-01 00:00:22.594000+00:00,100.432,100.4729,100.4524,211
2023-01-01 00:00:23.476000+00:00,100.3069,100.357,100.332,171
2023-01-01 00:00:26.297000+00:00,100.2842,100.3268,100.3055,84
2023-01-01 00:00:27.472000+00:00,100.2442,100.2891,100.2667,84
2023-01-01 00:00:28.965000+00:00,100.1864,100.2415,100.2139,123
2023-01-01 00:00:29.231000+00:00,100.1699,100.2126,100.1912,58
2023-01-01 00:00:29.318000+00:00,100.2865,100.3428,100.3147,158
2023-01-01 00:00:29.534000+00:00,100.2137,100.2726,100.2432,118
2023-01-01 00:00:29.576000+00:00,100.297,100.3493,100.3231,112
2023-01-01 00:00:29.637000+00:00,100.157,100.2113,100.1842,134
2023-01-01 00:00:29.648000+00:00,100.1294,100.1837,100.1566,186
2023-01-01 00:00:29.648000+00:00,100.14,100.2,100.17,108
2023-01-01 00:00:30.806000+00:00,100.1949,100.2418,100.2184,94
2023-01-01 00:00:32.548000+00:00,100.2554,100.2988,100.2771,175
2023-01-01 00:00:33.107000+00:00,100.3173,100.3679,100.3426,148
2023-01-01 00:00:33.537000+00:00,100.2884,100.3392,100.3138,83
2023-01-01 00:00:33.875000+00:00,100.2538,100.2975,100.2756,100
2023-01-01 00:00:35.695000+00:00,100.3203,100.3727,100.3465,109
2023-01-01 00:00:35.889000+00:00,100.3105,100.3509,100.3307,118
2023-01-01 00:00:36.649000+00:00,100.196,100.2547,100.2253,32
