timestamp,open,high,low,close,volume
2023-01-01 00:00:00+00:00,100.3098,100.3322,99.786,100.0,864414
2023-01-02 00:00:00+00:00,100.6006,100.8779,100.1596,100.3966,800236
2023-01-03 00:00:00+00:00,98.94,99.2568,98.4444,99.1015,1130202
2023-01-04 00:00:00+00:00,99.7145,100.2946,99.59,100.0549,1075556
2023-01-05 00:00:00+00:00,100.5811,101.2608,100.5006,101.2596,578562
2023-01-06 00:00:00+00:00,98.691,98.9397,98.5049,98.8127,1336803
2023-01-07 00:00:00+00:00,97.7515,97.999,96.4421,97.2164,971741
2023-01-08 00:00:00+00:00,97.4808,97.6189,97.3688,97.3847,666720
2023-01-09 00:00:00+00:00,96.886,97.2863,96.1545,97.009,1356635
2023-01-10 00:00:00+00:00,97.1024,97.2414,96.9515,97.0,1187702
2023-01-11 00:00:00+00:00,95.6354,96.4224,95.6108,95.9745,620637
2023-01-12 00:00:00+00:00,96.9899,97.5844,96.789,97.0553,1533154
2023-01-13 00:00:00+00:00,98.0448,98.2304,97.6909,98.0227,1197639
2023-01-14 00:00:00+00:00,98.0968,98.7298,97.3562,98.116,996941
2023-01-15 00:00:00+00:00,99.7099,100.1037,98.8983,99.5312,1477065
2023-01-16 00:00:00+00:00,100.2094,100.5961,100.0515,100.1311,1047789
2023-01-17 00:00:00+00:00,99.215,99.2345,98.797,99.0647,991575
2023-01-18 00:00:00+00:00,99.3826,99.6409,98.8898,99.5379,801909
2023-01-19 00:00:00+00:00,98.5548,98.6803,98.2372,98.3543,1174555
2023-01-20 00:00:00+00:00,99.8288,100.0627,98.7335,99.4607,1142980
2023-01-21 00:00:00+00:00,99.1916,99.5377,98.7162,99.41,1004404
2023-01-22 00:00:00+00:00,98.9911,99.3091,97.9623,99.1906,763004
2023-01-23 00:00:00+00:00,98.6534,98.8062,98.2679,98.355,1038978
2023-01-24 00:00:00+00:00,99.8502,100.1261,99.7791,99.8935,979060
2023-01-25 00:00:00+00:00,100.029,100.826,99.5511,99.7111,599957
2023-01-26 00:00:00+00:00,99.0868,99.3229,98.6827,99.1863,558456
2023-01-27 00:00:00+00:00,99.0854,99.9019,98.3116,98.759,1169546
2023-01-28 00:00:00+00:00,99.465,99.4786,99.3713,99.4353,219433
2023-01-29 00:00:00+00:00,99.9646,99.9664,99.1,99.9061,1061623
2023-01-30 00:00:00+00:00,100.796,101.1943,100.2046,100.4389,856575
2023-01-31 00:00:00+00:00,100.9148,101.451,100.7029,100.9976,1392473
2023-02-01 00:00:00+00:00,103.5509,103.8517,103.4299,103.7722,851959
2023-02-02 00:00:00+00:00,103.1495,103.4498,102.7669,103.2545,1197845
2023-02-03 00:00:00+00:00,102.7078,102.8961,102.1508,102.6025,880925
2023-02-04 00:00:00+00:00,101.208,101.7707,100.4396,101.568,1034124
2023-02-05 00:00:00+00:00,102.5196,102.5201,102.0003,102.3715,1221050
2023-02-06 00:00:00+00:00,103.7236,104.2374,103.4298,103.8504,861233
2023-02-07 00:00:00+00:00,103.984,104.2033,103.0523,103.7137,1298966
2023-02-08 00:00:00+00:00,102.0782,102.9465,101.7193,102.6339,701890
2023-02-09 00:00:00+00:00,101.4044,101.8455,100.8232,101.5854,1088377
2023-02-10 00:00:00+00:00,102.0427,102.8034,101.9421,102.4337,1276791
2023-02-11 00:00:00+00:00,103.2161,103.7904,102.8885,103.4097,1198011
2023-02-12 00:00:00+00:00,104.1907,104.4658,104.0389,104.1322,1574933
2023-02-13 00:00:00+00:00,103.2331,103.3148,103.1921,103.275,770968
2023-02-14 00:00:00+00:00,103.5304,103.8883,102.9967,103.5899,586255
2023-02-15 00:00:00+00:00,103.7172,104.0916,103.6244,103.7546,701699
2023-02-16 00:00:00+00:00,104.1013,104.3128,103.3529,104.0533,1198132
2023-02-17 00:00:00+00:00,104.9741,105.4303,104.6554,105.2145,1149376
2023-02-18 00:00:00+00:00,105.6931,106.0749,105.304,105.5239,1030676
2023-02-19 00:00:00+00:00,106.6031,106.7794,106.2839,106.443,663112
2023-02-20 00:00:00+00:00,106.6394,107.1399,105.9153,106.5464,1230060
2023-02-21 00:00:00+00:00,107.083,107.1655,106.6551,106.9479,632588
2023-02-22 00:00:00+00:00,107.8872,107.9319,107.5777,107.8147,1347684
2023-02-23 00:00:00+00:00,106.3558,107.3387,105.7198,105.8661,1857231
2023-02-24 00:00:00+00:00,105.4323,106.0021,104.884,105.4531,1109935
2023-02-25 00:00:00+00:00,104.7695,105.4258,104.5207,104.8425,1174932
2023-02-26 00:00:00+00:00,103.8368,104.0733,103.5508,104.0144,852142
2023-02-27 00:00:00+00:00,103.4244,103.8279,103.1228,103.6668,456936
2023-02-28 00:00:00+00:00,105.3526,105.6976,105.0305,105.6504,819184
2023-03-01 00:00:00+00:00,104.3062,104.6923,104.2487,104.5166,672131
2023-03-02 00:00:00+00:00,105.7951,105.8735,105.6383,105.812,565898
2023-03-03 00:00:00+00:00,103.6831,104.2529,103.5497,103.6045,1516707
2023-03-04 00:00:00+00:00,103.1926,103.3706,102.8622,103.1806,1081858
2023-03-05 00:00:00+00:00,103.2254,103.8472,102.7779,103.4047,1113906
2023-03-06 00:00:00+00:00,104.3966,104.6508,103.8134,104.1837,907293
2023-03-07 00:00:00+00:00,105.3104,105.3343,104.8817,105.1339,948138
2023-03-08 00:00:00+00:00,106.1642,106.633,105.6974,106.2027,1289365
2023-03-09 00:00:00+00:00,105.5932,105.9315,105.5285,105.7497,990298
2023-03-10 00:00:00+00:00,105.2788,105.8539,104.858,105.148,1159208
2023-03-11 00:00:00+00:00,106.3487,106.3798,105.6657,106.3034,941198
2023-03-12 00:00:00+00:00,105.7124,106.139,105.7023,106.0601,897354
2023-03-13 00:00:00+00:00,104.3655,104.8213,104.2787,104.3816,577925
2023-03-14 00:00:00+00:00,102.9752,103.0644,102.7812,102.914,406675
2023-03-15 00:00:00+00:00,101.5335,102.3534,101.5285,101.7409,921531
